#####################################################
# This file is used to log scrapes from crawlers.py #
#####################################################

New log created at 02:29:45 on 12/09/2014

Searched http://www.audiokeychain.com for the following:

Chris Wallace, Remember When (Push Rewind), NULL, 127.00, Null, Null, Null, 9B / G
The Submarines, 1940 (Amplive Remix), NULL, 82.74, Null, Null, Null, 4A / Fm
Hellogoodbye, All Of Your Love, NULL, 133.00, Null, Null, Null, 5A / Cm
Hellogoodbye, Baby, It's Fact, NULL, 128.66, Null, Null, Null, 6A / Gm
Hellogoodbye, Call 'n' Return (Say That You're Into Me), NULL, 174.50, Null, Null, Null, 11B / A
Architecture In Helsinki, City Calm Down, NULL, 76.00, Null, Null, Null, 8B / C
Architecture In Helsinki, Debbie, NULL, 108.00, Null, Null, Null, 12B / E
Architecture In Helsinki, Do The Whirlwind, NULL, 112.00, Null, Null, Null, 8B / C
Architecture In Helsinki, Frenchy, I'm Faking, NULL, 85.00, Null, Null, Null, 9B / G
Architecture In Helsinki, Heart It Races, NULL, 100.00, Null, Null, Null, 7B / F
Hellogoodbye, Here (In Your Arms), NULL, 126.00, Null, Null, Null, 7B / F
Ms Mr, Hurricane, NULL, 90.00, Null, Null, Null, 10B / D
Lykke Li, I Follow Rivers (The Magician Remix), NULL, 122.00, Null, Null, Null, 8A / Am
Lykke Li, I'm Good, I'm Gone, NULL, 120.00, Null, Null, Null, 8A / Am
Architecture In Helsinki, Like A Call, NULL, 117.50, Null, Null, Null, 8B / C
Architecture In Helsinki, Maybe You Can Owe Me, NULL, 99.00, Null, Null, Null, 2B / Gb
Lykke Li, Melodies &amp; Desires, NULL, 78.31, Null, Null, Null, 9B / G
Lykke Li, My Love, NULL, 124.50, Null, Null, Null, 11B / A
Architecture In Helsinki, Neverevereverdid, NULL, 92.50, Null, Null, Null, 3B / Db
Lykke Li, Possibility, NULL, 117.28, Null, Null, Null, 8B / C
Hellogoodbye, Shimmy Shimmy Quarter Turn (Take It Back To Square One) (Demo), NULL, 132.00, Null, Null, Null, 12B / E
Betty Who, Somebody Loves You, NULL, 123.00, Null, Null, Null, 10B / D
The New Pornographers, Sweet Talk, Sweet Talk, NULL, 136.00, Null, Null, Null, 9B / G
Architecture In Helsinki, That Beep, NULL, 116.00, Null, Null, Null, 7B / F
Architecture In Helsinki, The Owls Go, NULL, 145.00, Null, Null, Null, 10B / D
Lykke Li, Time Flies, NULL, 92.00, Null, Null, Null, 9B / G
Hellogoodbye, Touchdown Turnaround (Don't Give Up On Me) (Demo), NULL, 135.00, Null, Null, Null, 3B / Db
Lykke Li, Window Blues, NULL, 114.00, Null, Null, Null, 6A / Gm
Architecture In Helsinki, Wishbone, NULL, 75.50, Null, Null, Null, 1B / B
Cartel, Burn This City, NULL, 149.50, Null, Null, Null, 5A / Cm
Justin Beiber, Favorite Girl, NULL, 125.30, Null, Null, Null, 9A / Em
Cartel, Honestly, NULL, 144.00, Null, Null, Null, 3B / Db
Justin Beiber, Love Me, NULL, 127.50, Null, Null, Null, 6A / Gm
Cartel, Wasted, NULL, 140.00, Null, Null, Null, 12A / Dbm
Jos&eacute; Feliciano, California Dreamin', NULL, 99.22, Null, Null, Null, 6A / Gm
Y-Titty, Halt Dein Maul, NULL, 150.00, Null, Null, Null, 11B / A
The Click Five, Jenny, NULL, 96.00, Null, Null, Null, 3B / Db
The Click Five, Just The Girl (Radio Edit), NULL, 111.00, Null, Null, Null, 11B / A
Jos&eacute; Feliciano, Light My Fire, NULL, 109.00, Null, Null, Null, 10B / D
Alejandro Sanz, Looking For Paradise, NULL, 89.00, Null, Null, Null, 8B / C
The Click Five, Pop Princess, NULL, 149.00, Null, Null, Null, 7B / F
Plain White T's, Should've Gone To Bed, NULL, 93.00, Null, Null, Null, 4B / Ab
David Bisbal, T&uacute; y Yo, NULL, 173.30, Null, Null, Null, 3A / Bbm
White Town, Your Woman, NULL, 103.00, Null, Null, Null, 3A / Bbm
Suede, She's In Fashion, NULL, 79.75, Null, Null, Null, 10B / D
Sugar Ray, Every Morning, NULL, 110.00, Null, Null, Null, 4B / Ab
Steam, Na Na Hey Hey Kiss Him Goodbye, NULL, 115.66, Null, Null, Null, 9B / G
Sugar Ray, Someday, NULL, 111.00, Null, Null, Null, 12A / Dbm
Blonde Redhead, 23, NULL, 120.27, Null, Null, Null, 4B / Ab
All Time Low, A Love Like War (Feat. Vic Fuentes), NULL, 162.00, Null, Null, Null, 4A / Fm
Hit The Lights, Body Bag, NULL, 116.50, Null, Null, Null, 11B / A
Hit The Lights, Hey Jealousy, NULL, 85.00, Null, Null, Null, 11A / Gbm
All Time Low, Hit The Lights, NULL, 120.00, Null, Null, Null, 12B / E
All Time Low, Lost In Stereo (Cobra Starship Suave Suarez Remix), NULL, 150.00, Null, Null, Null, 6A / Gm
Hit The Lights, Save Your Breath, NULL, 124.00, Null, Null, Null, 6B / Bb
Hit The Lights, Sincerely Yours, NULL, 166.30, Null, Null, Null, 11B / A
Hit The Lights, Speakers Blown, NULL, 90.00, Null, Null, Null, 1B / B
Hit The Lights, Stay Out, NULL, 97.50, Null, Null, Null, 9B / G
Hit The Lights, These Backs Are Made For Stabbing, NULL, 88.00, Null, Null, Null, 5B / Eb
Passion Pit, Carried Away, NULL, 120.00, Null, Null, Null, 8B / C
Passion Pit, Constant Conversations, NULL, 140.00, Null, Null, Null, 4A / Fm
Passion Pit, Cuddle Fuddle, NULL, 97.00, Null, Null, Null, 3B / Db
A-1, Doing The Most (Mr. Carmack Remix), NULL, 91.20, Null, Null, Null, 4A / Fm
Passion Pit, I've Got Your Number, NULL, 117.00, Null, Null, Null, 3B / Db
